effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.6402361259656459,0.014725753525512314,43.47730829912637,242.8185841177007,< .001
fixed,NA,poly1,0.16581653178156264,0.011547689332235182,14.359282364714174,35879.39869654772,< .001
fixed,NA,exp_centered,0.14218394927530884,0.025731495949548728,5.525677541410196,592.3135471302955,< .001
fixed,NA,age_centered,0.007351757201872472,0.0012387033924434524,5.935042437698082,350.68278131030854,< .001
fixed,NA,poly2,-0.2971694680504078,0.011528780468760361,-25.77631422990927,35851.33764490587,< .001
fixed,NA,poly1:exp_centered,0.02515853583812294,0.04507917928106706,0.55809658115691,35885.7973944107,.577
fixed,NA,poly1:age_centered,-0.0010038807010210567,0.0011763721035039456,-0.8533700331985896,35915.19525230824,.393
fixed,NA,exp_centered:poly2,-0.25500423954761553,0.04499238680203113,-5.6677197560033346,35851.151815008816,< .001
fixed,NA,age_centered:poly2,-0.011909718796282928,0.001170639060100074,-10.173689911956984,35856.83824493207,< .001
ran_pars,media_name,sd__(Intercept),0.11600892837816426,NA,NA,NA,  NA
ran_pars,subject_id,sd__(Intercept),0.09576930675412658,NA,NA,NA,  NA
ran_pars,Residual,sd__Observation,0.43146697203677825,NA,NA,NA,  NA
